owner	BAKEHOUSE	BEER & WINE	BREAD	BULK	CHEESE	DELI	FISH&SEAFOOD	FLOWERS	FROZEN	GEN MERCH	HERBS&SPICES	JUICE BAR	MEAT	PACKAGED GROCERY	PERSONAL CARE	PRODUCE	REF GROCERY	SUPPLEMENTS	total_spend
49362	0.0	0.0	0.0	0.0	0.03	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.23	0.11	0.15	0.0	88.59
34033	0.0	0.0	0.0	0.0	0.0	0.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	9.18
49363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.15	0.0	0.0	0.0	0.11	0.57	0.13	0.0	0.0	162.23
34036	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.44	0.28	0.0	42.48
49364	0.0	0.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.0	6.33
34043	0.0	0.0	0.0	0.14	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.14	0.08	0.0	41.44
49365	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.01	0.05	0.65	340.14
49366	0.0	0.0	0.01	0.0	0.03	0.11	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.19	0.07	0.01	0.0	0.56	302.48
49367	0.0	0.0	0.08	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.11	0.0	0.55	72.34
49368	0.0	0.0	0.0	0.05	0.0	0.05	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.2	0.0	0.4	0.05	0.21	158.18
49369	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.15	0.0	0.01	0.0	0.26	0.23	0.03	0.23	0.0	172.7
49370	0.0	0.0	0.02	0.08	0.06	0.04	0.0	0.0	0.03	0.0	0.0	0.0	0.08	0.21	0.0	0.31	0.16	0.0	1808.77
34080	0.0	0.0	0.0	0.05	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.33	0.0	0.0	0.05	0.0	81.68
49371	0.0	0.02	0.0	0.03	0.04	0.2	0.04	0.01	0.11	0.0	0.01	0.01	0.08	0.07	0.1	0.17	0.09	0.05	1506.37
34086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.87
49372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.3	0.43	0.15	0.04	0.0	74.12
49373	0.0	0.0	0.04	0.23	0.0	0.43	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.08	0.0	0.03	0.06	0.11	463.69
49374	0.0	0.01	0.0	0.07	0.02	0.11	0.0	0.02	0.01	0.02	0.0	0.06	0.01	0.21	0.05	0.32	0.1	0.0	1834.51
49375	0.0	0.0	0.0	0.04	0.04	0.04	0.0	0.0	0.07	0.0	0.0	0.0	0.02	0.35	0.04	0.18	0.21	0.0	1313.11
44781	0.0	0.0	0.0	0.0	0.0	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	104.57
34125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.29	0.0	0.11	0.0	0.0	11.45
49379	0.0	0.01	0.01	0.04	0.06	0.08	0.0	0.0	0.0	0.0	0.02	0.02	0.16	0.17	0.0	0.24	0.2	0.0	1327.81
34133	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.3	0.0	0.0	0.0	0.06	0.0	0.18	39.55
49380	0.0	0.0	0.1	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.22	0.0	0.03	0.09	0.0	43.66
49381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.99
34147	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	6.82
49382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.39
34153	0.0	0.0	0.0	0.04	0.0	0.16	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.36	0.11	0.0	90.23
